lon,lat,SURF_ug_PM,CAS.All.Ad,Stato
13.194500000000000,46.935000000000002,3.370926856994630,3.835803031921390,Austria
13.914500000000000,46.695399999999999,6.053019523620610,4.932392597198490,Austria
14.457400000000000,46.866599999999998,5.833692073822020,4.236066341400150,Austria
16.062500000000000,48.329400000000000,9.499794006347660,5.744456291198730,Austria
16.331499999999998,48.124699999999997,10.630700111389199,6.311340332031250,Austria
16.313900000000000,48.302500000000002,9.879344940185550,6.013845443725590,Austria
19.449200000000001,41.319899999999997,9.866984367370600,7.511397838592530,Albania
19.523399999999999,42.313899999999997,4.916419506073000,4.618534564971920,Albania
15.935000000000000,48.276400000000002,9.157790184021000,5.557795524597170,Austria
15.619999999999999,48.201400000000000,10.012414932251000,5.827804565429690,Austria
14.519500000000001,48.192300000000003,9.903505325317379,5.922235965728760,Austria
16.254999999999999,47.814200000000000,8.826343536376950,5.565329074859620,Austria
16.431100000000001,48.085700000000003,9.871847152709959,6.037698268890380,Austria
14.398300000000001,46.610100000000003,12.465757369995099,6.916828632354740,Austria
16.729399999999998,48.334699999999998,9.442857742309570,5.743162631988530,Austria
13.701499999999999,46.554200000000002,7.468995094299320,5.567503452301030,Austria
15.859999999999999,47.670299999999997,5.325560569763180,3.856421232223510,Austria
19.486200000000000,40.403100000000002,7.208476066589360,6.268059253692630,Albania
16.205700000000000,47.959200000000003,8.967773437500000,5.738726615905760,Austria
16.675300000000000,48.049999999999997,9.455351829528810,5.862654685974120,Austria
15.619199999999999,48.408600000000000,8.617114067077640,5.354215621948240,Austria
15.918900000000001,48.105100000000000,7.037199974060060,4.903965950012210,Austria
16.526199999999999,47.840100000000000,9.776774406433100,5.943642139434810,Austria
13.039199999999999,48.257500000000000,9.729508399963381,5.410926342010500,Austria
1.539100000000000,42.509700000000002,3.719181060791020,4.228404045104980,Andorra
16.578800000000001,48.578299999999999,8.859573364257812,5.485105991363530,Austria
16.302199999999999,48.086100000000002,10.034368515014600,6.129799842834470,Austria
13.632199999999999,47.716099999999997,5.280553340911870,3.982565641403200,Austria
15.746900000000000,48.353299999999997,8.684015274047850,5.384021759033200,Austria
16.143400000000000,48.195500000000003,8.492549896240233,5.345712184906010,Austria
16.521999999999998,48.392899999999997,9.106330871582029,5.676513671875000,Austria
13.493900000000000,46.801400000000001,5.360002040863040,4.641999721527100,Austria
20.780200000000001,40.625900000000001,7.694717884063720,5.795859336853030,Albania
16.475899999999999,48.145600000000002,10.636093139648400,6.215774536132810,Austria
14.366500000000000,48.279800000000002,14.264447212219199,7.664503574371340,Austria
14.297499999999999,48.306100000000001,10.338604927063001,6.352786540985110,Austria
14.843500000000001,46.835000000000001,8.094830513000490,5.400522708892820,Austria
15.498400000000000,48.724200000000003,6.832665443420410,4.794080734252930,Austria
14.289500000000000,48.291100000000000,11.707033157348601,6.506007671356200,Austria
15.545500000000001,48.370399999999997,7.705829143524170,4.881875038146970,Austria
15.046700000000000,48.878599999999999,6.792595386505130,4.390366554260251,Austria
15.320900000000000,47.861400000000003,5.052724361419680,3.994259834289550,Austria
14.574700000000000,48.531100000000002,7.082278728485110,4.598571777343750,Austria
15.205000000000000,48.212800000000001,8.874146461486820,5.407134532928470,Austria
14.878800000000000,48.119900000000001,10.220558166503899,5.911990642547610,Austria
15.907100000000000,48.345100000000002,9.496582031250000,5.647696018218990,Austria
16.957899999999999,48.144199999999998,9.951823234558100,6.041179180145260,Austria
