lon,lat,SURF_ug_PM25_rh50
13.1945,46.935,3.370926856994629
13.9145,46.6954,6.0530195236206055
14.4574,46.8666,5.8336920738220215
16.0625,48.3294,9.499794006347656
16.3315,48.1247,10.63070011138916
16.3139,48.3025,9.879344940185549
19.4492,41.3199,9.866984367370604
19.5234,42.3139,4.916419506072998
15.935,48.2764,9.157790184020996
15.62,48.2014,10.012414932250977
14.5195,48.1923,9.903505325317385
16.255,47.8142,8.826343536376953
16.4311,48.0857,9.87184715270996
14.3983,46.6101,12.465757369995115
16.7294,48.3347,9.44285774230957
13.7015,46.5542,7.468995094299316
15.86,47.6703,5.325560569763184
19.4862,40.4031,7.2084760665893555
16.2057,47.9592,8.9677734375
16.6753,48.05,9.455351829528809
15.6192,48.4086,8.617114067077637
15.9189,48.1051,7.037199974060059
16.5262,47.8401,9.776774406433104
13.0392,48.2575,9.72950839996338
1.5391,42.5097,3.719181060791016
16.5788,48.5783,8.8595733642578125
16.3022,48.0861,10.034368515014648
13.6322,47.7161,5.280553340911865
15.7469,48.3533,8.684015274047852
16.1434,48.1955,8.492549896240234
16.522,48.3929,9.106330871582031
13.4939,46.8014,5.360002040863037
20.7802,40.6259,7.694717884063721
16.4759,48.1456,10.636093139648438
14.3665,48.2798,14.264447212219238
14.2975,48.3061,10.338604927062988
14.8435,46.835,8.094830513000488
15.4984,48.7242,6.83266544342041
14.2895,48.2911,11.707033157348633
15.5455,48.3704,7.70582914352417
15.0467,48.8786,6.792595386505127
15.3209,47.8614,5.052724361419678
14.5747,48.5311,7.082278728485107
15.205,48.2128,8.874146461486816
14.8788,48.1199,10.220558166503906
15.9071,48.3451,9.49658203125
16.9579,48.1442,9.951823234558104
17.0703,48.1092,11.30153465270996
14.7723,48.0451,7.450652122497559
20.0817,41.111,9.7531280517578125
16.6363,48.2307,9.590120315551758
14.3658,46.7711,7.97563362121582
14.2991,46.6266,10.87718391418457
16.2931,47.6083,6.476991176605225
14.2376,48.2253,11.953393936157228
13.7207,47.8159,5.165248870849609
14.4369,48.2094,11.625797271728516
14.53,46.8428,5.571076393127441
