lon,lat,SURF_ug_NO2
13.1945,46.935,1.1349694728851318
13.9145,46.6954,2.722058057785034
14.4574,46.8666,3.815311908721924
16.0625,48.3294,9.188441276550291
16.3315,48.1247,16.21514129638672
16.3139,48.3025,11.496106147766112
19.4492,41.3199,13.633302688598633
19.5234,42.3139,1.4273968935012815
15.935,48.2764,7.245988368988037
15.62,48.2014,9.60765552520752
14.5195,48.1923,13.295066833496094
16.255,47.8142,9.910894393920898
16.4311,48.0857,9.145588874816896
14.3983,46.6101,17.55141830444336
16.7294,48.3347,6.715593338012695
13.7015,46.5542,6.860414505004883
15.86,47.6703,2.8634440898895264
19.4862,40.4031,4.2022624015808105
16.2057,47.9592,11.41327667236328
16.6753,48.05,8.973134994506836
15.6192,48.4086,7.682473659515381
15.9189,48.1051,4.403670310974121
16.5262,47.8401,9.00235366821289
13.0392,48.2575,10.795204162597656
1.5391,42.5097,0.489082396030426
16.5788,48.5783,5.473367214202881
16.3022,48.0861,11.318558692932127
13.6322,47.7161,4.660941123962402
15.7469,48.3533,6.367431163787842
16.1434,48.1955,11.186555862426758
16.522,48.3929,6.265003204345703
13.4939,46.8014,5.1360392570495605
20.7802,40.6259,5.894073486328125
16.4759,48.1456,15.495465278625488
14.3665,48.2798,19.406719207763672
14.2975,48.3061,11.80514430999756
14.8435,46.835,11.994221687316896
15.4984,48.7242,4.06032133102417
14.2895,48.2911,16.265316009521484
15.5455,48.3704,4.568929672241211
15.0467,48.8786,3.2853407859802246
15.3209,47.8614,2.1647984981536865
14.5747,48.5311,4.33993673324585
15.205,48.2128,7.93391227722168
14.8788,48.1199,12.68553066253662
15.9071,48.3451,7.469901084899902
16.9579,48.1442,10.665811538696287
17.0703,48.1092,16.292848587036133
14.7723,48.0451,6.2609758377075195
20.0817,41.111,14.647286415100098
16.6363,48.2307,6.994447231292725
14.3658,46.7711,7.259980201721191
14.2991,46.6266,11.382530212402344
16.2931,47.6083,3.349072217941284
14.2376,48.2253,23.72251319885254
13.7207,47.8159,3.5448179244995117
14.4369,48.2094,18.49732208251953
14.53,46.8428,4.614299297332764
14.8917,46.7083,8.632248878479004
14.0366,48.1649,18.240278244018555
14.8651,48.1793,7.727361679077148
14.4428,48.0494,8.565983772277832
13.6676,48.0009,11.486427307128906
13.0533,47.7974,17.95630645751953
13.0433,47.8056,24.84813117980957
13.6008,47.9719,13.150629043579102
13.1,47.6826,7.84584903717041
13.2056,47.3514,3.550556182861328
13.5051,47.1541,1.7206652164459229
12.7951,47.3266,2.6959619522094727
15.1528,47.0447,5.729170799255371
13.2328,47.6503,4.1607537269592285
13.0158,47.9367,10.16442584991455
13.808,47.1257,2.495929479598999
15.0867,47.0633,4.892037391662598
15.4375,47.0758,13.801518440246582
14.6767,47.1781,6.336430549621582
14.8253,47.2104,6.002190113067627
15.3511,47.1203,13.07852554321289
15.0741,47.3753,7.369071960449219
15.4958,46.8714,9.765660285949709
15.1037,47.3591,5.382501125335693
15.8822,47.3481,2.780189037322998
14.7533,47.1925,8.328351020812988
13.7967,47.6306,4.03690242767334
15.4331,47.0417,19.327810287475582
15.2903,47.4458,9.270623207092283
15.3608,47.4056,6.199071884155273
15.9719,47.2829,6.30613374710083
14.2447,47.5654,6.478729248046875
15.6283,47.2172,4.623817443847656
15.3458,47.2064,6.8601579666137695
15.6731,47.6047,2.254322290420532
15.5406,46.7783,9.887140274047852
15.9563,46.7672,5.383914470672607
14.3307,47.0403,2.4552600383758545
13.6394,47.3603,3.081216335296631
11.3924,47.2626,17.081745147705078
11.4169,47.2713,21.713279724121097
11.376,47.3056,4.7286295890808105
15.2128,46.8139,6.285656929016113
11.3907,47.2396,9.165682792663574
16.079,47.0474,6.163365840911865
15.3678,46.6519,5.049442291259766
11.8718,47.4286,16.080034255981445
12.0666,47.4886,11.152592658996582
11.5125,47.2781,16.04323387145996
11.958,47.4689,11.938883781433104
10.7357,47.2169,7.374907493591309
10.6823,47.4698,2.8480167388916016
10.7441,47.4476,4.7510762214660645
11.6945,47.35,4.915443420410156
9.9267,47.5292,4.169641971588135
12.766,46.8191,7.174167156219482
9.7432,47.4095,12.77504825592041
9.5975,47.2392,17.187278747558594
9.6505,47.4325,18.523664474487305
12.1724,47.5818,14.021408081054688
16.3498,48.2191,21.66524887084961
16.3614,48.1744,22.638444900512695
9.6406,47.4597,24.983428955078125
16.4346,48.2031,15.950797080993652
10.0343,47.1289,2.556922912597656
16.397,48.2611,14.386269569396973
16.2972,48.2702,9.107029914855955
9.8229,47.1565,5.546492099761963
16.5256,48.1621,12.018627166748049
16.4761,48.1567,18.23360061645508
13.6709,48.3916,7.1619672775268555
16.7664,47.7703,4.802422046661377
12.9583,47.0542,0.8016384243965149
15.936,48.7212,4.6798095703125
14.4409,47.8383,2.576565980911255
12.9746,46.6777,4.552016258239746
4.3478,50.8521,28.66215705871582
4.3338,50.8497,24.839977264404297
4.2887,50.8578,17.469181060791016
4.4257,50.8566,26.062610626220703
4.3585,50.7966,14.743618965148926
4.3218,51.3407,35.75632858276367
4.3852,51.2362,26.77848243713379
2.6585,51.1209,9.203129768371582
