lon,lat,SURF_ppb_O3
13.1945,46.935,42.74498748779297
13.9145,46.6954,35.83564758300781
14.4574,46.8666,37.61384582519531
16.0625,48.3294,31.038497924804688
16.3315,48.1247,28.65478515625
16.3139,48.3025,31.334325790405273
19.4492,41.3199,32.382869720458984
19.5234,42.3139,39.93071746826172
15.935,48.2764,31.24232292175293
15.62,48.2014,30.43486976623535
14.5195,48.1923,28.472307205200195
16.255,47.8142,31.49382209777832
16.4311,48.0857,29.95000457763672
14.3983,46.6101,25.451356887817383
16.7294,48.3347,31.002681732177734
13.7015,46.5542,33.805301666259766
15.86,47.6703,39.16815948486328
19.4862,40.4031,39.76676177978515
16.2057,47.9592,31.09333610534668
16.6753,48.05,30.629348754882813
15.6192,48.4086,31.77485084533691
15.9189,48.1051,35.71981430053711
16.5262,47.8401,30.69853401184082
13.0392,48.2575,29.618858337402344
1.5391,42.5097,46.039493560791016
16.5788,48.5783,32.64174270629883
16.3022,48.0861,30.169273376464844
13.6322,47.7161,35.275638580322266
15.7469,48.3533,32.00022506713867
16.1434,48.1955,32.626434326171875
16.522,48.3929,31.99142074584961
13.4939,46.8014,35.89904022216797
20.7802,40.6259,33.58727264404297
16.4759,48.1456,27.62324905395508
14.3665,48.2798,27.62655258178711
14.2975,48.3061,31.477251052856445
14.8435,46.835,31.81946563720703
15.4984,48.7242,34.73122024536133
14.2895,48.2911,28.354801177978516
15.5455,48.3704,34.31929016113281
15.0467,48.8786,34.4897346496582
15.3209,47.8614,38.5871696472168
14.5747,48.5311,35.76096725463867
15.205,48.2128,32.7354621887207
14.8788,48.1199,29.292469024658203
15.9071,48.3451,30.61507797241211
16.9579,48.1442,30.766544342041016
17.0703,48.1092,28.982376098632813
14.7723,48.0451,32.485530853271484
20.0817,41.111,30.869600296020508
16.6363,48.2307,30.46626663208008
14.3658,46.7711,31.80018615722656
14.2991,46.6266,28.239261627197266
16.2931,47.6083,35.57563018798828
14.2376,48.2253,24.635744094848633
13.7207,47.8159,37.39297103881836
14.4369,48.2094,26.573694229125977
14.53,46.8428,37.441184997558594
14.8917,46.7083,32.00595474243164
14.0366,48.1649,26.548845291137695
14.8651,48.1793,32.01906204223633
14.4428,48.0494,32.40442657470703
13.6676,48.0009,30.427234649658203
13.0533,47.7974,29.221858978271484
13.0433,47.8056,25.485191345214844
13.6008,47.9719,29.465940475463867
13.1,47.6826,35.830039978027344
13.2056,47.3514,34.5965461730957
13.5051,47.1541,41.938419342041016
12.7951,47.3266,36.52231979370117
15.1528,47.0447,33.48463439941406
13.2328,47.6503,35.27781677246094
13.0158,47.9367,30.156137466430664
13.808,47.1257,37.49516677856445
15.0867,47.0633,35.17618942260742
15.4375,47.0758,28.984832763671875
14.6767,47.1781,34.617271423339844
14.8253,47.2104,33.56114959716797
15.3511,47.1203,29.84894561767578
15.0741,47.3753,32.688255310058594
15.4958,46.8714,27.540496826171875
15.1037,47.3591,33.01615905761719
15.8822,47.3481,36.44122695922851
14.7533,47.1925,33.31377410888672
13.7967,47.6306,36.51276016235352
15.4331,47.0417,25.543502807617188
15.2903,47.4458,32.51101303100586
15.3608,47.4056,33.163902282714844
15.9719,47.2829,32.81175231933594
14.2447,47.5654,34.36128616333008
15.6283,47.2172,35.17427062988281
15.3458,47.2064,32.93240737915039
15.6731,47.6047,39.58589553833008
15.5406,46.7783,28.47091484069824
15.9563,46.7672,30.885805130004883
